time,turbidity,pH
2020-11-11 22:45:00.213823+00:00,17.73466229,7.35
2020-11-11 23:15:16.261228+00:00,17.85615918,7.36
2020-11-12 00:15:48.373825+00:00,17.61150649,7.36
2020-11-12 00:46:04.433087+00:00,17.85615918,7.39
2020-11-12 01:16:20.473824+00:00,17.73466229,7.36
2020-11-12 01:46:36.533481+00:00,16.85615918,7.35
2020-11-12 02:16:52.593291+00:00,14.73466229,7.35
2020-11-12 02:47:08.632606+00:00,13.97599715,7.36
2020-11-12 04:17:56.819784+00:00,15.73466229,7.35
2020-11-12 05:18:28.913010+00:00,16.73466229,7.35
2020-11-12 08:50:21.320920+00:00,14.73466229,7.35
2020-11-12 09:20:37.353014+00:00,8.856159176,7.35
2020-11-12 10:21:09.460117+00:00,13.85615918,7.33
2020-11-12 12:22:13.693980+00:00,13.85615918,7.35
2020-11-12 13:53:01.845340+00:00,13.73466229,7.35
2020-11-12 14:23:17.909396+00:00,11.61150649,7.35
2020-11-12 14:53:33.975014+00:00,12.85615918,7.35
2020-11-12 15:23:50.022278+00:00,12.48669177,7.35
2020-11-12 15:54:06.074985+00:00,12.85615918,7.35
2020-11-12 16:24:22.146280+00:00,13.73466229,7.36
2020-11-12 17:24:54.250874+00:00,11.85615918,7.35
2020-11-12 17:55:10.311827+00:00,10.73466229,7.35
2020-11-12 18:25:26.356137+00:00,13.73466229,7.35
2020-11-12 18:55:42.413609+00:00,14.97599715,7.35
2020-11-12 19:25:58.470401+00:00,15.73466229,7.35
2020-11-12 19:56:14.531883+00:00,16.97599715,7.35
2020-11-12 20:26:30.589940+00:00,15.61150649,7.35
2020-11-12 20:56:46.650829+00:00,14.48669177,7.35
2020-11-12 21:27:02.699108+00:00,22.97599715,7.35
2020-11-12 21:57:18.752276+00:00,33.85615918,7.35
2020-11-12 22:27:34.814333+00:00,35.97599715,7.35
2020-11-12 22:57:50.858115+00:00,39.48669177,7.35
2020-11-12 23:28:06.931813+00:00,38.85615918,7.36
2020-11-12 23:58:22.991919+00:00,37.61150649,7.35
2020-11-13 00:28:39.029634+00:00,36.73466229,7.35
2020-11-13 00:58:55.088630+00:00,32.61150649,7.35
2020-11-13 01:29:11.149606+00:00,30.97599715,7.35
2020-11-13 01:59:27.197097+00:00,30.73466229,7.35
2020-11-13 02:29:43.256445+00:00,29.97599715,7.35
2020-11-13 02:59:59.324648+00:00,28.73466229,7.35
2020-11-13 03:30:15.379476+00:00,27.85615918,7.35
2020-11-13 04:00:31.428294+00:00,25.61150649,7.35
2020-11-13 04:30:47.477089+00:00,24.73466229,7.36
2020-11-13 05:01:03.531680+00:00,23.85615918,7.4
2020-11-13 05:31:19.579197+00:00,22.73466229,7.37
2020-11-13 06:01:35.634078+00:00,23.85615918,7.35
2020-11-13 06:31:51.689342+00:00,22.48669177,7.35
2020-11-13 07:02:07.747892+00:00,15.73466229,7.35
2020-11-13 07:32:23.804054+00:00,10.85615918,7.35
2020-11-13 08:02:39.853962+00:00,11.73466229,7.35
2020-11-13 08:32:55.917255+00:00,14.85615918,7.35
2020-11-13 09:03:11.968437+00:00,11.85615918,7.35
2020-11-13 09:33:28.013774+00:00,13.73466229,7.35
2020-11-13 10:03:44.075480+00:00,12.09417621,7.36
2020-11-13 10:34:00.127041+00:00,12.79968293,7.34
2020-11-13 11:34:32.232478+00:00,12.91869145,7.35
2020-11-13 12:04:48.279905+00:00,13.03769997,7.35
2020-11-13 12:35:04.336963+00:00,13.15670848,7.35
2020-11-13 13:05:20.399068+00:00,13.275717,7.35
2020-11-13 13:35:36.466353+00:00,13.39472552,7.35
2020-11-13 14:05:52.511207+00:00,11.51373404,7.35
2020-11-13 14:36:08.567109+00:00,13.63274256,7.35
2020-11-13 15:06:24.615074+00:00,13.75175108,7.35
2020-11-13 15:36:40.663887+00:00,13.8707596,7.35
2020-11-13 16:06:56.725913+00:00,13.98976811,7.36
2020-11-13 16:37:12.786067+00:00,12.73466229,7.35
2020-11-13 17:07:28.848128+00:00,20.73466229,7.35
2020-11-13 17:37:44.907897+00:00,22.85615918,7.35
2020-11-13 18:08:00.945691+00:00,27.85615918,7.35
2020-11-13 18:38:17.005566+00:00,26.97599715,7.35
2020-11-13 19:08:33.045818+00:00,35.61150649,7.35
2020-11-13 19:38:49.102091+00:00,38.73466229,7.35
2020-11-13 20:09:05.171648+00:00,37.97599715,7.36
2020-11-13 20:39:21.242662+00:00,41.61150649,7.36
2020-11-13 21:09:37.282217+00:00,50.09417621,7.39
2020-11-13 21:39:53.336963+00:00,55.48669177,7.35
2020-11-13 22:10:09.389225+00:00,66.85615918,7.35
2020-11-13 22:40:25.429616+00:00,63.61150649,7.36
2020-11-13 23:10:41.495390+00:00,65.73466229,7.38
2020-11-13 23:40:57.541244+00:00,63.61150649,7.35
2020-11-14 00:11:13.608538+00:00,63.97599715,7.35
2020-11-14 00:41:29.675325+00:00,63.61150649,7.35
2020-11-14 01:11:45.727333+00:00,62.97599715,7.36
2020-11-14 01:42:01.786476+00:00,62.85615918,7.35
2020-11-14 02:12:17.827028+00:00,62.61150649,7.35
2020-11-14 02:42:33.915215+00:00,61.85615918,7.36
2020-11-14 03:43:06.028287+00:00,60.85615918,7.36
2020-11-14 04:13:22.067267+00:00,35.73466229,7.35
2020-11-14 04:43:38.146891+00:00,28.85615918,7.35
2020-11-14 05:13:54.208484+00:00,27.73466229,7.35
2020-11-14 05:44:10.246043+00:00,20.09417621,7.38
2020-11-14 06:14:26.306877+00:00,18.85615918,7.35
2020-11-14 06:44:42.374552+00:00,16.97599715,7.35
2020-11-14 07:14:58.446287+00:00,15.73466229,7.4
2020-11-14 07:45:14.500771+00:00,14.97599715,7.35
2020-11-14 08:15:30.560412+00:00,13.8955522,7.35
2020-11-14 08:45:46.621860+00:00,12.8955522,7.35
2020-11-14 09:16:02.682744+00:00,17.85615918,7.35
2020-11-14 09:46:18.721962+00:00,15.73466229,7.35
2020-11-14 10:16:34.782841+00:00,14.97599715,7.35
2020-11-14 10:46:50.861678+00:00,13.8955522,7.35
2020-11-14 11:17:06.905754+00:00,17.97599715,7.35
2020-11-14 12:11:22.530599+00:00,17.97599715,7.35
2020-11-14 12:41:38.581187+00:00,15.73466229,7.35
2020-11-14 13:11:54.639043+00:00,14.97599715,7.35
2020-11-14 13:42:10.692302+00:00,13.8955522,7.35
2020-11-14 14:12:26.760157+00:00,17.85615918,7.35
2020-11-14 14:42:42.811883+00:00,15.73466229,7.35
2020-11-14 15:12:58.874814+00:00,14.97599715,7.35
2020-11-14 15:43:14.928911+00:00,13.8955522,7.35
2020-11-14 16:13:30.979317+00:00,17.48669177,7.38
2020-11-14 16:43:47.043436+00:00,25.73466229,7.35
2020-11-14 17:14:03.102837+00:00,30.61150649,7.35
2020-11-14 17:44:19.164530+00:00,40.97599715,7.35
2020-11-14 18:14:35.219092+00:00,90.73466229,7.35
2020-11-14 18:44:51.300974+00:00,130.9759972,7.35
2020-11-14 19:15:07.351303+00:00,133.8561592,7.35
2020-11-14 19:45:23.399550+00:00,140.0941762,7.36
2020-11-14 20:15:39.462711+00:00,155.9759972,7.36
2020-11-14 20:45:55.522757+00:00,125.0941762,7.35
2020-11-14 21:16:11.589362+00:00,126.0941762,7.35
2020-11-14 21:46:27.646087+00:00,110.8561592,7.35
2020-11-14 22:16:43.699278+00:00,102.7346623,7.35
2020-11-14 22:46:59.760800+00:00,100.6115065,7.35
2020-11-14 23:17:15.822085+00:00,95.97599715,7.34
2020-11-14 23:47:31.879899+00:00,95.73466229,7.35
2020-11-15 00:17:47.940881+00:00,92.09417621,7.39
2020-11-15 00:48:03.980406+00:00,89.61150649,7.35
2020-11-15 01:18:20.060234+00:00,85.97599715,7.35
2020-11-15 01:48:36.100481+00:00,88.61150649,7.35
2020-11-15 02:18:52.160486+00:00,82.85615918,7.33
2020-11-15 02:49:08.220440+00:00,70.85615918,7.35
2020-11-15 03:19:24.279519+00:00,67.97599715,7.37
